No,TimeSpent,Happy,Gold,Skill,Socialize,Group,NextGroup,Category,Add Responsibility,Add Effect,Required Gold,Required Responsibility,Required Effect,Required Socialize,Required Skill,Message
1,1,2,3,4,5,haha,hihi,cat1,,eff1,1,,,,2,ashdjads
2,2,3,4,5,6,haha,,,res1,,2,,eff1,,,asjkdasd
3,3,4,5,6,7,haha,hihi,cat2,,,3,,,2,,hjkadhfjka
4,4,5,6,7,8,hihi,,,,,,,,4,,haskjdad
5,5,6,7,8,9,hihi,,,res2,,,res1,,6,5,qewohksd
6,6,7,8,9,10,,huhu,cat3,,,,,eff2,,,odhjka
7,7,8,9,10,11,,,,,eff2,,,,,,huhqidq
8,8,9,10,11,12,huhu,,,,,5,,,,,hkjahjkc
9,9,10,11,12,13,huhu,,,,,67,,,9,,qweuahd
10,10,11,12,13,14,huhu,,,,,9,,,,8,qwehjkca
11,11,12,13,14,15,,,,,,,res2,eff3,,,qweouyhuiacz
12,12,13,14,15,16,,,,,eff3,,,,,,qoehyuidca
13,13,14,15,16,17,,,,,,,res1,,,9,eqohkhcac
14,14,15,16,17,18,,,,,,,,,,,
15,15,16,17,18,19,,,,,,,,,,,
16,16,17,18,19,20,,,,,,,,,,,
17,17,18,19,20,21,,,,,,,,,,,
18,18,19,20,21,22,,,,,,,,,,,
19,19,20,21,22,23,,,,,,,,,,,
20,20,21,22,23,24,,,,,,,,,,,
