No,TimeSpent,Happy,Gold,Skill,Socialize,Group,NextGroup,Category,Add Responsibility,Add Effect,Required Gold,Required Responsibility,Required Effect,Required Socialize,Required Skill,Message
1,0,-11,0,0,0,301_SHOULD_GO_SCHOOL,302_KINDERGARTEN_ACTIVITIES,DILIGENT,R301_KINDERGARTEN,0,0,0,0,0,0,Go to kindergarten
2,0,11,0,-4,1,301_SHOULD_GO_SCHOOL,0,LAZY,0,0,0,0,0,2,0,Pretend to be sick
3,0,0,0,-4,0,301_SHOULD_GO_SCHOOL,0,LAZY,0,0,0,0,0,0,0,Cry and Reject kindergarten
4,18,23,0,0,2,302_KINDERGARTEN_ACTIVITIES,303_KINDERGARTEN_ACTIVITIES_2,OUTGOING,0,0,0,R301_KINDERGARTEN,0,0,0,Play with friends
5,18,-11,0,4,-1,302_KINDERGARTEN_ACTIVITIES,303_KINDERGARTEN_ACTIVITIES_2,0,0,0,0,R301_KINDERGARTEN,0,0,0,Stay alone and read notes
6,18,38,0,0,3,302_KINDERGARTEN_ACTIVITIES,304_KINDERGARTEN_ACTIVITIES_3,0,0,0,0,R301_KINDERGARTEN,0,3,0,Find a young lover
7,18,-11,0,4,0,303_KINDERGARTEN_ACTIVITIES_2,0,DILIGENT,0,0,0,R301_KINDERGARTEN,0,0,0,Listen to the teacher
8,18,11,0,0,1,303_KINDERGARTEN_ACTIVITIES_2,306_KINDERGARTEN_ACTIVITES_4,0,0,0,0,R301_KINDERGARTEN,0,0,0,Talk to friends
9,18,0,0,0,0,303_KINDERGARTEN_ACTIVITIES_2,0,0,0,0,0,R301_KINDERGARTEN,0,0,0,Pretend to be listening in class
10,18,11,0,4,0,304_KINDERGARTEN_ACTIVITIES_3,306_KINDERGARTEN_ACTIVITES_4,DILIGENT,0,0,0,R301_KINDERGARTEN,0,0,0,Learn to sing song
11,0,0,0,-2,0,304_KINDERGARTEN_ACTIVITIES_3,306_KINDERGARTEN_ACTIVITES_4,0,0,0,0,R301_KINDERGARTEN,0,0,0,Refuse to learn
12,0,11,0,0,0,304_KINDERGARTEN_ACTIVITIES_3,306_KINDERGARTEN_ACTIVITES_4,0,0,0,0,R301_KINDERGARTEN,0,0,6,Volunteer to be singer at graduation
