No,TimeSpent,Happy,Gold,Skill,Socialize,Group,NextGroup,Category,Add Responsibility,Add Effect,Required Gold,Required Responsibility,Required Effect,Required Socialize,Required Skill,Message
1,16,14,0,0,0,201_FUN,0,0,0,0,0,0,0,0,0,Play ball
2,16,28,0,0,0,201_FUN,0,0,0,0,0,0,0,0,0,Play toy car
3,21,28,0,2,1,201_FUN,0,0,0,0,0,0,0,0,0,Play treasure hunt with parents
4,16,14,0,0,0,202_FUN,0,0,0,0,0,0,0,0,0,Play ironman model
5,21,28,0,2,1,202_FUN,0,0,0,0,0,0,0,0,0,Play hide and seek with siblings
6,16,14,0,2,0,202_FUN,0,0,0,0,0,0,0,0,0,Play lego bricks
7,21,28,0,5,0,203_GO_OUT,0,0,0,0,0,0,0,0,0,Going out with parents to zoo
8,21,28,0,5,0,203_GO_OUT,0,0,0,0,0,0,0,0,0,Going out with parents to park
9,21,14,0,0,0,203_GO_OUT,0,INACTIVE,0,0,0,0,0,0,0,Stay home and sleep
10,21,28,0,2,0,204_GO_OUT,0,0,0,0,0,0,0,0,0,Going out with parents to shopping mall
11,21,14,0,0,0,204_GO_OUT,0,INACTIVE,0,0,0,0,0,0,0,Stay home and sleep
12,21,28,0,0,0,204_GO_OUT,0,0,0,0,0,0,0,0,0,Suggest to go to the park
